,brand,price,thickness,weight,screen_size,ppi,threads,ram,antiglare,touch_screen,cores,battery_capacity,battery_cell,hdmi,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,hdd,ssd,popularity,quality_type,ppi_type
469,MSI,279990,thick,heavy,16,189,32.0,32,1,0,24.0,90.0,4.0,1,1,1,0,0,0,1,0,0.0,3.0,2.0,13.0,intel,i9,nvidia,12.0,rtx4080,0,0,0,1,,1024.0,regular,medium,high
470,MSI,344990,thick,heavy,17,178,32.0,32,1,0,24.0,90.0,4.0,1,1,1,1,0,0,1,0,0.0,2.0,3.0,13.0,intel,i9,nvidia,16.0,rtx4090,0,0,0,1,,2048.0,regular,low,high
471,Acer,44990,slim,medium,15,141,8.0,8,0,0,4.0,,,1,1,0,0,0,0,1,1,0.0,3.0,1.0,11.0,intel,i5,nvidia,2.0,mx450,0,0,1,0,,512.0,regular,low,medium
472,Lenovo,60990,slim,lite,14,157,12.0,16,1,0,6.0,47.0,,1,0,0,0,0,0,1,1,0.0,2.0,2.0,7.0,amd,3,amd,,Integrated,1,0,0,0,,512.0,regular,low,high
473,Asus,23990,slim,medium,15,141,2.0,4,1,0,2.0,,,1,0,0,0,0,0,0,0,1.0,1.0,1.0,,intel,7,intel,,Integrated,0,0,1,0,,256.0,popular,low,medium
474,HP,128599,,,16,141,16.0,16,1,0,8.0,83.0,6.0,1,1,0,0,0,0,1,0,0.0,2.0,2.0,7.0,amd,7,nvidia,8.0,rtx4060,0,0,0,1,,512.0,regular,low,medium
475,HP,138990,thick,heavy,16,182,24.0,16,1,0,16.0,83.0,6.0,1,1,0,0,0,0,1,0,0.0,2.0,2.0,13.0,intel,i7,nvidia,8.0,rtx4060,0,0,1,0,,512.0,regular,medium,high
476,HP,51147,medium,lite,14,112,4.0,8,1,0,2.0,41.0,3.0,1,1,1,0,0,0,0,0,0.0,2.0,1.0,11.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0,regular,high,low
477,Lenovo,54990,slim,lite,13,166,8.0,16,1,1,4.0,51.0,,1,0,0,0,0,0,1,1,0.0,2.0,2.0,3.0,amd,3,amd,,Integrated,0,1,0,0,,256.0,regular,high,high
478,Infinix,52990,,medium,15,141,8.0,16,0,0,4.0,,,1,0,1,0,0,0,1,0,0.0,2.0,2.0,11.0,intel,i7,intel,,Integrated,0,0,1,0,,1024.0,regular,high,medium
